NVD,IDH,ARV
0,7,10787
0,15,10220
214,2,11550
8742,11,10780
0,3,10500
8151,2,10700
6994,6,9580
12576,6,12100
8978,9,10200
0,10,10100
0,8,11800
0,11,11127
0,13,13327
8826,9,12758
0,9,13429
5129,8,11783
2134,3,12529
0,7,13228
0,5,12724
0,6,12484
0,9,15319
0,5,16519
0,8,17243
0,9,15817
0,10,15126
5688,9,14848
2158,9,17056
11426,8,17044
7046,6,15381
0,7,14875
0,5,13631
0,11,14598
0,9,16537
0,9,18940
0,8,19912
0,14,19603
22484,7,17931
24864,6,16329
20147,2,19713
29975,0,18510
20777,5,19363
17022,7,17274
0,4,15398
0,2,18782
0,7,18006
0,6,21987
0,11,24346
0,9,18820
7970,7,21607
3805,3,20400
17829,2,22783
4730,4,20206
7901,5,19829
6256,3,18560
12124,4,17990
9688,2,21360
0,3,22570
0,2,20180
0,7,21950
0,10,24182
0,5,23413
0,3,20287
0,6,21005
0,4,20567
0,3,20285
21644,3,17850
0,3,16556
12818,2,18540
5958,3,18980
0,3,20150
0,6,20800
0,7,21981
0,2,22250
0,4,22100
38584,3,20160
93295,0,20550
69300,2,19258
58996,3,17450
0,4,16500
6302,1,15358
12310,2,19043
48752,4,21489
37777,5,23994
0,6,22224
56111,5,21272
111055,4,18848
95083,3,21910
61616,4,20717
89544,0,19120
65412,0,16430
77381,0,18060
19659,11,16506
7118,9,18735
0,4,23568
42229,3,26725
0,0,24819
18387,7,22943
146567,8,20763
0,3,18809
0,0,7463
0,0,7793
0,0,10412
0,2,12927
0,0,13590
0,0,16021
0,1,19691
47608,2,22798
0,3,21740
0,0,20607
0,2,18603
73655,4,20874
0,5,15856
138678,1,18070
0,7,16096
0,0,12809
0,4,15869
0,4,20548
0,3,26640
0,2,26535
0,2,25862
